filename,label
Image_1.jpg,genova-A
Image_2.jpg,brodarski-B
Image_3.jpg,genova-A
Image_4.jpg,genova-A
Image_5.jpg,biograd-A
Image_6.jpg,biograd-C
Image_7.jpg,brodarski-C
Image_8.jpg,genova-A
Image_9.jpg,biograd-C
Image_10.jpg,biograd-B
Image_11.jpg,biograd-C
Image_12.jpg,genova-A
Image_13.jpg,genova-A
Image_14.jpg,biograd-A
Image_15.jpg,brodarski-C
Image_16.jpg,biograd-B
Image_17.jpg,genova-A
Image_18.jpg,brodarski-C
Image_19.jpg,biograd-B
Image_20.jpg,genova-A
Image_21.jpg,genova-A
Image_22.jpg,brodarski-C
Image_23.jpg,biograd-A
Image_24.jpg,biograd-C
Image_25.jpg,genova-A
Image_26.jpg,biograd-C
Image_27.jpg,genova-A
Image_28.jpg,biograd-C
Image_29.jpg,genova-A
Image_30.jpg,biograd-C
Image_31.jpg,genova-A
Image_32.jpg,biograd-A
Image_33.jpg,brodarski-C
Image_34.jpg,brodarski-C
Image_35.jpg,brodarski-C
Image_36.jpg,biograd-C
Image_37.jpg,brodarski-C
Image_38.jpg,genova-A
Image_39.jpg,genova-A
Image_40.jpg,genova-A
Image_41.jpg,brodarski-A
Image_42.jpg,biograd-A
Image_43.jpg,biograd-A
Image_44.jpg,brodarski-D
Image_45.jpg,genova-A
Image_46.jpg,brodarski-D
Image_47.jpg,genova-A
Image_48.jpg,brodarski-C
Image_49.jpg,biograd-C
Image_50.jpg,biograd-C
Image_51.jpg,biograd-C
Image_52.jpg,brodarski-D
Image_53.jpg,brodarski-C
Image_54.jpg,brodarski-A
Image_55.jpg,biograd-C
Image_56.jpg,genova-A
Image_57.jpg,biograd-A
Image_58.jpg,biograd-A
Image_59.jpg,brodarski-C
Image_60.jpg,biograd-B
Image_61.jpg,biograd-B
Image_62.jpg,biograd-C
Image_63.jpg,biograd-C
Image_64.jpg,genova-A
Image_65.jpg,genova-A
Image_66.jpg,biograd-B
Image_67.jpg,genova-A
Image_68.jpg,biograd-A
Image_69.jpg,genova-A
Image_70.jpg,biograd-A
Image_71.jpg,genova-A
Image_72.jpg,brodarski-C
Image_73.jpg,brodarski-D
Image_74.jpg,biograd-A
Image_75.jpg,genova-A
Image_76.jpg,biograd-B
Image_77.jpg,biograd-C
Image_78.jpg,biograd-B
Image_79.jpg,genova-A
Image_80.jpg,brodarski-C
Image_81.jpg,biograd-B
Image_82.jpg,genova-A
Image_83.jpg,biograd-C
Image_84.jpg,genova-A
Image_85.jpg,genova-A
Image_86.jpg,genova-A
Image_87.jpg,biograd-C
Image_88.jpg,biograd-A
Image_89.jpg,brodarski-D
Image_90.jpg,biograd-C
Image_91.jpg,biograd-C
Image_92.jpg,genova-A
Image_93.jpg,biograd-C
Image_94.jpg,biograd-C
Image_95.jpg,brodarski-C
Image_96.jpg,genova-A
Image_97.jpg,genova-A
Image_98.jpg,brodarski-C
Image_99.jpg,genova-A
Image_100.jpg,biograd-C
Image_101.jpg,biograd-C
Image_102.jpg,biograd-B
Image_103.jpg,genova-A
Image_104.jpg,genova-A
Image_105.jpg,biograd-A
Image_106.jpg,genova-A
Image_107.jpg,genova-A
Image_108.jpg,brodarski-A
Image_109.jpg,biograd-A
Image_110.jpg,biograd-A
Image_111.jpg,biograd-B
